Gene	Accession No.	Species
nak	EF646436	Calliopsis anthidia
nak	EF646435	Calliopsis fracta
nak	EF646434	Calliopsis pugionis
nak	GU320142	Callohesma calliopsella
nak	GU320133	Callomelitta antipodes
nak	EF646433	Callonychium atacamense
nak	EF646440	Camptopoeum frontale
nak	EF646441	Camptopoeum negevense
nak	EF646412	Capicola nanula
nak	EF646413	Capicola nigerrima
nak	EF646414	Capicola richtersveldensis
nak	GU320129	Caupolicana vestita
nak	GU320127	Caupolicana yarrowi
nak	EU184745	Cephalotrigona capitata
nak	GU245213	Ceratina calcarata
nak	GU245218	Ceratina cyanea
nak	GU245216	Ceratina sp. JS-2010
nak	GU320130	Cerceris sp. SCC-2010
nak	GU245170	Chelostoma californicum
nak	HQ995997	Chelostoma florisomne
nak	GU320115	Chilicola styliventris
nak	GU320114	Chilicolletes delahozii
nak	GU320113	Clitemnestra bipunctata
nak	GU320121	Clypeadon sp. SCC-2010
nak	GU245146	Coelioxoides sp. JS-2010
nak	GU245149	Coelioxoides waltheriae
nak	HQ995963	Coelioxys afra
nak	GU245164	Coelioxys alternata
nak	EF646387	Colletes inaequalis
nak	GU245210	Compsomelissa keiseri
nak	GU320109	Conanthalictus wilmattae
nak	GU245088	Ctenioschelus goryi
nak	GU320147	Ctenocolletes smaragdinus
nak	EF646391	Ctenoplectra albolimbata
nak	GU245072	Ctenoplectra bequaerti
nak	GU245071	Ctenoplectrina sp. JS-2010
nak	EF646418	Dasypoda argentata
nak	EF646419	Dasypoda braccata
nak	EF646423	Dasypoda frieseana
nak	EF646416	Dasypoda hirtipes
nak	EF646417	Dasypoda oraniensis
nak	EF646422	Dasypoda pyriformis
nak	EF646421	Dasypoda pyrotricha
nak	EF646424	Dasypoda spinigera
nak	EF646425	Dasypoda suripes
nak	EF646420	Dasypoda visnaga
nak	HQ995949	Dianthidium arizonicum
nak	GU245155	Dianthidium subparvum
nak	GU320123	Dieunomia nevadensis
nak	HQ995940	Dioxys moesta
nak	GU245159	Dioxys pomonae
nak	GU320143	Diphaglossa gayi
nak	GU245200	Doeringiella sp. JS-2010
nak	HQ995950	Duckeanthidium thielei
nak	GU320108	Dufourea mulleri
nak	HQ995951	Eoanthidium turnericum
nak	HQ995952	Epanthidium bicoloratum
nak	GU245131	Epeoloides coecutiens
nak	GU245129	Epeoloides pilosula
nak	GU245197	Epeolus scutellaris
nak	GU245201	Epeolus sp. JS-2010
nak	GU245203	Epeolus variegatus
nak	GU245082	Epiclopus gayi
nak	GU245083	Ericrocis lata
nak	GU245094	Eucera frater
nak	GU245106	Eufriesea surinamensis
nak	GU245104	Euglossa piliventris
nak	GU245103	Eulaema meriana
nak	GU320124	Euryglossina globuliceps
nak	GU245102	Exaerete sp. JS-2010
nak	GU245110	Exomalopsis sp. JS-2010
nak	GU245212	Exoneura bicolor
nak	HQ995926	Fidelia braunsiana
nak	HQ995928	Fidelia friesei
nak	HQ995923	Fidelia kobrowi
nak	HQ995929	Fidelia pallidula
nak	HQ995924	Fidelia paradoxa
nak	HQ995927	Fidelia ulrikei
nak	HQ995925	Fidelia villosa
nak	HQ995930	Fideliopsis hessei
nak	HQ995931	Fideliopsis major
nak	HQ995932	Fideliopsis ornata
nak	GU245099	Florilegus sp. JS-2010
nak	GU320139	Goniocolletes fimbriatinus
nak	HQ995998	Haetosmia brachyura
nak	EF646388	Halictus rubicundus
nak	GU245168	Heriades crucifer
nak	EF646411	Hesperapis cockerelli
nak	EF646410	Hesperapis larreae
nak	EF646409	Hesperapis regularis
nak	EF646407	Hesperapis rhodocerata
nak	EF646408	Hesperapis trochanterata
nak	GU245204	Hexepeolus rhodogyne
nak	HQ995999	Hofferia schmiedeknechti
nak	GU245183	Holcopasites arizonicus
nak	GU245182	Holcopasites calliopsidis
nak	GU245184	Holcopasites insoletus
nak	GU245187	Holcopasites minimus
nak	GU245181	Holcopasites ruthae
nak	GU245186	Holcopasites stevensi
nak	GU245086	Hopliphora velutina
nak	HQ996000	Hoplitis adunca
nak	GU245175	Hoplitis albifrons
nak	GU245172	Hoplosmia scutellaris
nak	GU320136	Hylaeus elegans
nak	GU320117	Hylaeus proximus
nak	HQ995953	Hypanthidioides marginata
nak	HQ995954	Hypanthidium obscurius
nak	GU245121	Hypotrigona gribodoi
nak	HQ995955	Icteranthidium ferrugineum
nak	GU245112	Isepeolus atripilis
nak	GU245111	Isepeolus cortesi
nak	GU245113	Isepeolus luctuosus
nak	GU245114	Isepeolus wagenknechti
nak	GU320128	Isodontia mexicana
nak	GU320148	Lasioglossum hybodinum
nak	GU245135	Leiopodus abnormis
nak	GU245133	Leiopodus singularis
nak	GU245134	Leiopodus sp. JS-2010
nak	GU245136	Leiopodus trochantericus
nak	GU320111	Leioproctus plumosus
nak	GU245128	Lestrimelitta sp. JS-2010
nak	HQ995934	Lithurgus chrysurus
nak	EF646390	Lithurgus echinocacti
nak	HQ995935	Lithurgus pullatus
nak	HQ995936	Lithurgus rubricatus
nak	HQ995937	Lithurgus scabrosus
nak	HQ995938	Lithurgus tibialis
nak	GU245211	Macrogalea ellioti
nak	EF646403	Macropis europaea
nak	EF646405	Macropis fulvipes
nak	HQ995917	Macropis nuda
nak	EF646452	Macrotera echinocacti
nak	EF646451	Macrotera latior
nak	GU245219	Manuelia gayatina
nak	GU245090	Martinapis luteicornis
nak	HQ995964	Megachile (Aethomegachile) sp. CJP-2011
nak	HQ995967	Megachile (Austrochile) sp. CJP-2011
nak	HQ995971	Megachile (Chelostomoda) sp. CJP-2011
nak	HQ995973	Megachile (Chrysosarus) sp. CJP-2011
nak	HQ995980	Megachile (Hackeriapis) sp. CJP-2011
nak	HQ995981	Megachile (Largella) sp. CJP-2011
nak	HQ995989	Megachile (Rhodomegachile) sp. CJP-2011
nak	HQ995970	Megachile aethiops
nak	HQ995974	Megachile albisecta
nak	GU245163	Megachile angelarum
nak	HQ995979	Megachile bombiformis
nak	GU245165	Megachile ericetorum
nak	HQ995986	Megachile fabricator
nak	HQ995965	Megachile fimbriata
nak	HQ995976	Megachile mandibularis
nak	HQ995992	Megachile maritima
nak	HQ995983	Megachile maxillosa
nak	HQ995984	Megachile melanopyga
nak	HQ995988	Megachile microsoma
nak	HQ995985	Megachile nevadensis
nak	HQ995966	Megachile parallela
nak	HQ995969	Megachile parietina
nak	HQ995977	Megachile patellimana
nak	HQ995978	Megachile pilidens
nak	HQ995990	Megachile pugnata
nak	HQ995991	Megachile remeata
nak	HQ995968	Megachile sculpturalis
nak	HQ995987	Megachile sidalceae
nak	HQ995972	Megachile spinotulata
nak	HQ995982	Megachile texana
nak	HQ995975	Megachile zapoteca
nak	GU320119	Megandrena enceliae
nak	EF646406	Meganomia binghami
nak	GU245120	Melecta albifrons
nak	GU245115	Melectoides bellus
nak	GU245123	Melipona sp. JS-2010
nak	EU184746	Meliponula bocandei
nak	GU245122	Meliponula ferruginea
nak	GU245093	Melissodes desponsa
nak	GU245097	Melissoptila sp. JS-2010
nak	GU245167	Melitta arrogans
nak	EF646392	Melitta capensis
nak	EF646395	Melitta dimidiata
nak	EF646393	Melitta eickworti
nak	EF646399	Melitta ezoana
nak	EF646398	Melitta haemorrhoidalis
nak	EF646394	Melitta leporina
nak	EF646396	Melitta nigricans
nak	EF646397	Melitta tricincta
nak	EF646443	Melitturga albescens
nak	HQ995920	Melitturga clavicornis
nak	EF646446	Meliturgula haematospila
nak	EF646445	Meliturgula scriptifrons
nak	GU245087	Mesocheira bicolor
nak	GU245084	Mesonychium asteria
nak	GU245085	Mesoplia rufipes
nak	GU320146	Mexalictus arizonensis
nak	GU245161	Microthurge sp. JS-2010
nak	GU245138	Nanorhathymus sp. JS-2010
nak	EF646447	Neffapis longilingua
nak	HQ995933	Neofidelia longirostris
nak	GU245151	Neofidelia sp. JS-2010
nak	GU245205	Neolarra orbiculata
nak	GU245188	Neopasites cressoni
nak	GU245206	Nomada maculata
nak	GU245207	Nomada signata
nak	GU320125	Nomioides facilis
nak	HQ995956	Notanthidium steloides
nak	HQ995993	Noteriades sp. CJP-2011
nak	HQ996001	Ochreriades fasciatus
nak	GU245196	Odyneropsis sp. JS-2010
nak	GU245176	Oreopasites barbarae
nak	GU245132	Osiris sp. JS-2010
nak	GU245169	Osmia lignaria
nak	HQ996002	Othinosmia globicola
nak	HQ996003	Othinosmia securicornis
nak	GU320145	Oxybelus sp. SCC-2010
nak	HQ995957	Pachyanthidium benguelense
nak	EF646439	Panurginus albopilosus
nak	EF646464	Panurgus banksianus proximus
nak	EF646459	Panurgus calcaratus
nak	EF646453	Panurgus calceatus
nak	EF646454	Panurgus canescens
nak	EF646463	Panurgus cephalotes
nak	EF646457	Panurgus convergens
nak	EF646466	Panurgus dentatus
nak	EF646460	Panurgus dentipes
nak	EF646456	Panurgus farinosus
nak	EF646461	Panurgus maroccanus
nak	EF646455	Panurgus nigriscopus
nak	EF646468	Panurgus niloticus
nak	EF646462	Panurgus perezi
nak	EF646467	Panurgus pici
nak	EF646465	Panurgus pyropygus
nak	EF646458	Panurgus rungsi
nak	HQ995941	Paradioxys pannonica
nak	GU245190	Paranomada velutina
nak	GU245156	Paranthidium jugatorium
nak	HQ995922	Pararhophites orobinus
nak	GU245153	Pararhophites quadratus
nak	GU245141	Paratetrapedia sp. JS-2010
nak	GU245130	Parepeolus aterrimus
nak	GU245180	Pasites maculatus
nak	GU320152	Patellapis abessinica
nak	GU320104	Penapis penai
nak	GU245091	Peponapis pruinosa
nak	EF646450	Perdita californica
nak	EF646448	Perdita halictoides
nak	EF646449	Perdita trisignata
nak	GU320154	Philanthus gibbosus
nak	GU245126	Plebeina hildebrandti
nak	GU320103	Plenoculus sp. SCC-2010
nak	EF646444	Plesiopanurgus zizus
nak	GU320144	Podalonia sp. SCC-2010
nak	HQ995918	Promelitta alboclypeata
nak	EF646438	Protandrena mexicanorum
nak	HQ996004	Protosmia humeralis
nak	GU245174	Protosmia rubifloris
nak	EF646428	Protoxaea gloriosa
nak	GU320110	Pseudapis unidentata albocincta
nak	HQ995958	Pseudoanthidium scapulare
nak	HQ996005	Pseudoheriades moricei
nak	EF646437	Pseudopanurgus fraterculus
nak	HQ995994	Radoszkowskiana rufiventris
nak	EF646400	Rediviva mcgregori
nak	EF646402	Rediviva saetigera
nak	EF646401	Redivivoides simulans
nak	GU320122	Reedapis bathycyaneus
nak	GU245137	Rhathymus sp. JS-2010
nak	GU245139	Rhathymus unicolor
nak	GU245202	Rhinepeolus rufiventris
nak	HQ995959	Rhodanthidium septemdentatum
nak	GU320132	Rophites algirus
nak	GU320151	Ruizantheda mutabilis
nak	EF646426	Samba griseonigra
nak	EF646427	Samba spinosa
nak	GU245127	Scaptotrigona hellwegeri
nak	EU184747	Scaura latitarsis
nak	GU320126	Sceliphron caementarium
nak	GU320106	Scrapter erubescens
nak	GU320131	Scrapter heterodoxus
nak	GU320112	Scrapter niger
nak	GU320134	Scrapter ruficornis
nak	HQ995960	Serapista rufipes
nak	GU320150	Sphecodes ranunculi
nak	GU245177	Sphecodopsis capensis
nak	GU245162	Stelis linsleyi
nak	HQ995961	Stelis sp. 'paiute'
nak	HQ996006	Stenoheriades asiaticus
nak	GU320135	Stenotritus sp. SCC-2010
nak	GU320101	Stigmus sp. SCC-2010
nak	GU320120	Stizoides sp. SCC-2010
nak	GU245096	Svastra obliqua
nak	GU245092	Svastrides melanura
nak	GU245100	Svastrina subapicalis
nak	GU320107	Systropha curvicornis
nak	GU320138	Tachysphex sp. SCC-2010
nak	GU245142	Tapinotaspidini sp. JS-2010
nak	GU245143	Tapinotaspoides sp. JS-2010
nak	GU245124	Tetragonula carbonaria
nak	GU245089	Tetralonia cinctula
nak	GU245101	Tetraloniella glauca
nak	GU245119	Tetralonioidella sp. JS-2010
nak	GU245148	Tetrapedia cf. diversipes JS-2010
nak	GU245145	Tetrapedia maura
nak	GU245147	Tetrapedia sp. JS-2010
nak	GU245199	Thalestria spinosa
nak	GU245098	Thygater sp. JS-2010
nak	GU245118	Thyreus delumbatus
nak	EU184753	Thyreus takaonis
nak	GU245208	Townsendiella sp. JS-2010
nak	GU245154	Trachusa larreae
nak	HQ995962	Trachusa pubescens
nak	GU320140	Trichocolletes sp. SCC-2010
nak	GU245160	Trichothurgus herbsti
nak	GU245198	Triepeolus robustus
nak	EU184744	Trigona fuscipennis
nak	GU245191	Triopasites penniger
nak	HQ996007	Wainia eremoplana
nak	GU320100	Xanthesma furcifera
nak	GU245095	Xenoglossa angustior
nak	GU320116	Xeralictus bicuspidariae
nak	GU245116	Xeromelecta californica
nak	GU320141	Xeromelissa rozeni
nak	GU320137	Xerostictia sp. SCC-2010
nak	GU245228	Xylocopa californica arizonensis
nak	GU245227	Xylocopa fimbriata
nak	GU245223	Xylocopa iris
nak	GU245222	Xylocopa muscaria
nak	GU245225	Xylocopa pubescens
nak	GU245224	Xylocopa sp. JS-2010
nak	GU245221	Xylocopa tabaniformis
nak	GU245226	Xylocopa violacea
nak	GU245220	Xylocopa virginica
nak	GU245117	Zacosmia maculata
or2	FJ666105	Apis cerana
or2	FJ666109	Apis dorsata
or2	FJ666114	Apis florea
or2	NM001134943	Apis mellifera
or2	XM003402727	Bombus terrestris
or2	FJ666116	Melipona quadrifasciata
pepck	EF051028	Apis dorsata
pepck	XM396295	Apis mellifera
pepck	EF050860	Bombus affinis
pepck	EF050903	Bombus alagesianus
pepck	EF050813	Bombus alboanalis
pepck	EF050871	Bombus alpinus
pepck	EF050890	Bombus apollineus
pepck	EF050986	Bombus appositus
pepck	EF050823	Bombus ardens
pepck	EF051001	Bombus argillaceus
pepck	EF050937	Bombus armeniacus
pepck	EF050978	Bombus ashtoni
pepck	EF050896	Bombus asiaticus
pepck	EF050943	Bombus atratus
pepck	EF050964	Bombus atripes
pepck	EF051014	Bombus auricomus
pepck	EF050830	Bombus avanus
pepck	EF051020	Bombus avinoviellus
pepck	EF050886	Bombus baeri
pepck	EF050870	Bombus balteatus
pepck	EF050972	Bombus barbutellus
pepck	EF050956	Bombus bellicosus
pepck	EF051005	Bombus bicoloratus
pepck	EF050838	Bombus bifarius
pepck	EF050847	Bombus bimaculatus
pepck	EF050825	Bombus biroi
pepck	EF050979	Bombus bohemicus
pepck	EF050987	Bombus borealis
pepck	EF050889	Bombus brachycephalus
pepck	EF050950	Bombus brasiliensis
pepck	EF050915	Bombus breviceps
pepck	EF050818	Bombus brodmannicus
pepck	EF050957	Bombus californicus
pepck	EF050853	Bombus caliginosus
pepck	EF050974	Bombus campestris
pepck	EF050852	Bombus centralis
pepck	EF050982	Bombus chinensis
pepck	EF050812	Bombus cingulatus
pepck	EF050975	Bombus citrinus
pepck	EF050885	Bombus coccineus
pepck	EF051016	Bombus confusus
pepck	EF050994	Bombus consobrinus
pepck	EF051021	Bombus convexus
pepck	EF050984	Bombus cornutus
pepck	EF050882	Bombus crotchii
pepck	EF050855	Bombus cryptarum
pepck	EF050940	Bombus dahlbomii
pepck	EF050922	Bombus deuteronymus
pepck	EF050990	Bombus difficillimus
pepck	EF050959	Bombus digressus
pepck	EF050955	Bombus diligens
pepck	EF050988	Bombus distinguendus
pepck	EF051010	Bombus diversus
pepck	EF050874	Bombus ecuadorius
pepck	EF050844	Bombus ephippiatus
pepck	EF050899	Bombus erzurumensis
pepck	EF050942	Bombus excellens
pepck	EF050962	Bombus exil
pepck	EF050911	Bombus eximius
pepck	EF050969	Bombus fernaldae
pepck	EF050958	Bombus fervidus
pepck	EF050910	Bombus festivus
pepck	EF050933	Bombus filchnerae
pepck	EF050824	Bombus flavescens
pepck	EF050970	Bombus flavidus
pepck	EF050850	Bombus flavifrons
pepck	EF050992	Bombus fragrans
pepck	EF050861	Bombus franklini
pepck	EF050884	Bombus fraternus
pepck	EF050811	Bombus frigidus
pepck	EF050906	Bombus friseanus
pepck	EF050883	Bombus funebris
pepck	EF051012	Bombus funerarius
pepck	EF051003	Bombus gerstaeckeri
pepck	EF050916	Bombus grahami
pepck	EF050879	Bombus griseocollis
pepck	EF050829	Bombus haematurus
pepck	EF051011	Bombus haemorrhoidalis
pepck	EF050887	Bombus handlirschi
pepck	EF051017	Bombus handlirschianus
pepck	EF050930	Bombus hedini
pepck	EF050999	Bombus hortorum
pepck	EF050875	Bombus hortulanus
pepck	EF050924	Bombus humilis
pepck	EF050840	Bombus huntii
pepck	EF050868	Bombus hyperboreus
pepck	EF050827	Bombus hypnorum
pepck	EF050864	Bombus hypocrita
pepck	EF050866	Bombus ignitus
pepck	EF050965	Bombus imitator
pepck	EF050927	Bombus impetuosus
pepck	EF050901	Bombus incertus
pepck	FJ159106	Bombus inexspectatus
pepck	EF050836	Bombus infirmus
pepck	EF050831	Bombus infrequens
pepck	EF050976	Bombus insularis
pepck	EF050814	Bombus jonellus
pepck	EF050913	Bombus kashmirensis
pepck	EF050904	Bombus keriensis
pepck	EF050995	Bombus koreanus
pepck	EF051006	Bombus kulingensis
pepck	EF050905	Bombus ladakhensis
pepck	EF050936	Bombus laesus
pepck	EF050902	Bombus lapidarius
pepck	EF050845	Bombus lapponicus
pepck	EF050834	Bombus lemniscatus
pepck	EF050835	Bombus lepidus
pepck	EF051009	Bombus longipes
pepck	EF050862	Bombus lucorum
pepck	EF050881	Bombus macgregori
pepck	EF050973	Bombus maxillosus
pepck	EF050951	Bombus medius
pepck	EF050876	Bombus melaleucus
pepck	EF050849	Bombus melanopygus
pepck	EF050991	Bombus melanurus
pepck	EF051019	Bombus mendax
pepck	EF050938	Bombus mesomelas
pepck	EF050952	Bombus mexicanus
pepck	EF050908	Bombus miniatus
pepck	EF050816	Bombus mixtus
pepck	EF050917	Bombus mlokosievitzii
pepck	EF050856	Bombus moderatus
pepck	EF050820	Bombus modestus
pepck	EF050848	Bombus monticola
pepck	EF050941	Bombus morio
pepck	EF050880	Bombus morrisoni
pepck	EF050934	Bombus mucidus
pepck	EF050925	Bombus muscorum
pepck	EF050869	Bombus neoboreus
pepck	EF051015	Bombus nevadensis
pepck	EF050893	Bombus niveatus
pepck	EF050912	Bombus nobilis
pepck	EF050971	Bombus norvegicus
pepck	EF050898	Bombus oberti
pepck	EF050858	Bombus occidentalis
pepck	EF050954	Bombus opifex
pepck	EF050832	Bombus parthenius
pepck	EF050932	Bombus pascuorum
pepck	EF050857	Bombus patagiatus
pepck	EF050948	Bombus pennsylvanicus
pepck	EF050828	Bombus perplexus
pepck	EF050935	Bombus persicus
pepck	EF050993	Bombus personatus
pepck	EF050833	Bombus picipes
pepck	EF050872	Bombus polaris
pepck	EF050939	Bombus pomorum
pepck	EF051000	Bombus portchinsky
pepck	EF050928	Bombus potanini
pepck	EF050819	Bombus pratorum
pepck	EF050837	Bombus pressus
pepck	EF050923	Bombus pseudobaicalensis
pepck	EF050945	Bombus pullatus
pepck	EF050822	Bombus pyrenaeus
pepck	EF050966	Bombus quadricolor
pepck	EF050998	Bombus religiosus
pepck	EF050929	Bombus remotus
pepck	EF050877	Bombus robustus
pepck	EF050888	Bombus rubicundus
pepck	EF050920	Bombus ruderarius
pepck	EF051002	Bombus ruderatus
pepck	EF050892	Bombus rufocinctus
pepck	EF050907	Bombus rufofasciatus
pepck	EF050983	Bombus rupestris
pepck	EF050815	Bombus sandersoni
pepck	EF050931	Bombus schrencki
pepck	EF050997	Bombus securus
pepck	EF050891	Bombus semenoviellus
pepck	EF051018	Bombus shaposhnikovi
pepck	EF050897	Bombus sibiricus
pepck	EF050900	Bombus sichelii
pepck	EF050909	Bombus simillimus
pepck	EF050817	Bombus sitkensis
pepck	EF050968	Bombus skorikovi
pepck	EF050947	Bombus sonorus
pepck	EF051013	Bombus soroeensis
pepck	EF050867	Bombus sporadicus
pepck	EF050953	Bombus steindachneri
pepck	EF050989	Bombus subterraneus
pepck	EF050981	Bombus suckleyi
pepck	EF050895	Bombus sulfureus
pepck	EF051004	Bombus supremus
pepck	EF050996	Bombus sushkini
pepck	EF050918	Bombus sylvarum
pepck	EF050967	Bombus sylvestris
pepck	EF050846	Bombus sylvicola
pepck	EF050839	Bombus ternarius
pepck	XM003394476	Bombus terrestris
pepck	EF050859	Bombus terricola
pepck	EF050985	Bombus tibetanus
pepck	EF050944	Bombus transversalis
pepck	EF050963	Bombus tricornis
pepck	FJ175289	Bombus trifasciatus
pepck	FJ175292	Bombus trifasciatus trifasciatus
pepck	EF050960	Bombus trinominatus
pepck	EF050873	Bombus tucumanus
pepck	EF051008	Bombus ussurensis
pepck	EF050854	Bombus vagans
pepck	EF050851	Bombus vandykei
pepck	EF050977	Bombus variabilis
pepck	EF050921	Bombus velox
pepck	EF050980	Bombus vestalis
pepck	EF050919	Bombus veteranus
pepck	EF050878	Bombus vogti
pepck	EF050894	Bombus vorticosus
pepck	EF050841	Bombus vosnesenskii
pepck	EF051022	Bombus waltoni
pepck	EF050961	Bombus weisi
pepck	EF050843	Bombus wilmattae
pepck	EF050914	Bombus wurflenii
pepck	EF050926	Bombus zonatus
pepck	AY005303	Brevineura rufitarsis
pepck	EF051023	Geniotrigona thoracica
pepck	EF051024	Heterotrigona itama
pepck	EF051026	Hypotrigona gribodoi
pepck	EF051027	Plebeia frontalis
pepck	EF051025	Trigona amazonensis
pepck	AY005323	Xylocopa acutipennis
pepck	EU180132	Xylocopa aeratus
pepck	EU180130	Xylocopa albifrons
pepck	EU445993	Xylocopa albinotum
pepck	EU445991	Xylocopa amamensis
pepck	AY005324	Xylocopa appendiculata circumvolans
pepck	AY005315	Xylocopa aruana
pepck	AY005306	Xylocopa auripennis auripennis
pepck	AY005308	Xylocopa bombylans
pepck	EU446002	Xylocopa caerulea
pepck	EU180124	Xylocopa cf. confusa RL-2007
pepck	EU446005	Xylocopa collaris
pepck	EU446001	Xylocopa confusa
pepck	EU446004	Xylocopa dejeanii
pepck	EU180122	Xylocopa disconata
pepck	AY005310	Xylocopa erythrina
pepck	EU445992	Xylocopa flavifrons
pepck	AY005320	Xylocopa flavorufa
pepck	AY005329	Xylocopa frontalis
pepck	AY005327	Xylocopa gualanensis
pepck	EU180127	Xylocopa inconstans
pepck	AY005313	Xylocopa iris
pepck	AY005322	Xylocopa latipes
pepck	AY005316	Xylocopa lieftincki
pepck	EU180131	Xylocopa lugubris
pepck	AY005304	Xylocopa micans
pepck	AY005325	Xylocopa micheneri micheneri
pepck	AY005319	Xylocopa nigrita
pepck	EU180121	Xylocopa nigroclypeata
pepck	EU180125	Xylocopa nobilis tricolor
pepck	EU445998	Xylocopa ogasawarensis
pepck	AY005321	Xylocopa olivieri
pepck	EU180120	Xylocopa parvula
pepck	EU180129	Xylocopa provida
pepck	AY005317	Xylocopa pubescens
pepck	AY005318	Xylocopa scioensis
pepck	AY005311	Xylocopa sicheli
pepck	EU180128	Xylocopa smithii
pepck	EU180126	Xylocopa sp. India
pepck	EU445999	Xylocopa sp. KWZ10
pepck	EU445994	Xylocopa sp. KWZ5
pepck	AY005314	Xylocopa sulcatipes
pepck	AY005309	Xylocopa tabaniformis tabaniformis
pepck	AY005305	Xylocopa tranquebarica
pepck	EU445995	Xylocopa tranquebarorum
pepck	AY005328	Xylocopa truxali
pepck	AY005326	Xylocopa varipuncta
pepck	AY005307	Xylocopa violacea
pepck	AY005312	Xylocopa virginica virginica
pepck	EU180123	Xylocopa waterhousei
polII	GU245457	Afroheriades sp. CJP-2008
polII	AY945089	Agapostemon tyleri
polII	EF599232	Alocandrena porterae
polII	GU245463	Ammobates punctatus
polII	GU245462	Ammobates sp. JS-2010
polII	GU245468	Ammobatoides luctuosus
polII	AY945091	Anacrabro ocellatus
polII	GU245351	Ancyla asiatica
polII	GU245352	Ancyla holtzi anatolica
polII	EF599233	Andrena albopunctata
polII	AY945092	Andrena brooksi
polII	EF599234	Andrena cineraria
polII	AY945177	Andrena nasonii
polII	GU245442	Anthidiellum notatum
polII	AY945093	Anthidium oblongatum
polII	GU245443	Anthidium porterae
polII	GU245398	Anthophorula completa
polII	GU245399	Anthophorula sp. 1 JS-2010
polII	GU245400	Anthophorula sp. 2 JS-2010
polII	EU162879	Apis andreniformis
polII	EU184733	Apis cerana
polII	EU184732	Apis dorsata
polII	EU184731	Apis florea
polII	EU162863	Apis koschevnikovi
polII	DQ069332	Apis mellifera
polII	GU245430	Arhysoceble sp. JS-2010
polII	EF646384	Arhysosage ochracea
polII	GU245455	Ashmeadiella aridula
polII	GU320158	Augochlorella pomoniella
polII	GU320161	Augochloropsis metallica
polII	AY945095	Bembix americana
polII	AY945175	Bembix dentilabris
polII	GU245472	Biastes truncatus
polII	AY945094	Bicyrtes ventralis
polII	EU184724	Bombus ardens
polII	EU184725	Bombus diversus
polII	EU184726	Bombus mendax
polII	EU162880	Bombus transversalis
polII	EU162875	Bombus vagans
polII	GU245475	Brachynomada margaretae
polII	GU245474	Brachynomada sp. JS-2010
polII	GU245490	Braunsapis madecassella
polII	GU245426	Caenonomada sp. JS-2010
polII	GU245476	Caenoprosopina holmbergi
polII	GU245477	Caenoprosopis crabronina
polII	AY945096	Calliopsis anthidia
polII	AY945097	Calliopsis fracta
polII	AY945098	Calliopsis pugionis
polII	AY945178	Calliopsis subalpina
polII	AY945117	Callohesma calliopsella
polII	AY945105	Callomelitta antipodes
polII	EF599236	Callonychium atacamense
polII	EF599240	Camptopoeum frontale
polII	EF599241	Camptopoeum negevense
polII	EF599276	Capicola hantamensis
polII	EF599274	Capicola nanula
polII	EF599275	Capicola nigerrima
polII	AY945109	Caupolicana vestita
polII	AY945110	Caupolicana yarrowi
polII	EU184728	Cephalotrigona capitata
polII	EU162855	Cephalotrigona sp. MP106
polII	EU162916	Cephalotrigona sp. MP89
polII	AY945099	Ceratina calcarata
polII	GU245498	Ceratina cyanea
polII	GU245494	Ceratina sp. JS-2010
polII	GU245454	Chelostoma californicum
polII	AY945101	Chelostoma fuliginosum
polII	AY945103	Chilicola styliventris
polII	AY945134	Chilicolletes delahozii
polII	AY945102	Chilimelissa rozeni
polII	EF599238	Clavipanurgus desertus
polII	AY945147	Clitemnestra bipunctata
polII	AY945104	Clypeadon haigi
polII	GU245432	Coelioxoides sp. JS-2010
polII	GU245435	Coelioxoides waltheriae
polII	AY945179	Coelioxys afra
polII	GU245449	Coelioxys alternata
polII	AY945180	Colletes dimidiatus
polII	AY945107	Colletes inaequalis
polII	AY945108	Colletes skinneri
polII	GU245491	Compsomelissa keiseri
polII	DQ069330	Conanthalictus conanthi
polII	GU320157	Conanthalictus wilmattae
polII	GU245381	Ctenioschelus goryi
polII	GU320159	Ctenocolletes smaragdinus
polII	AY945111	Ctenoplectra albolimbata
polII	GU245366	Ctenoplectra bequaerti
polII	GU245365	Ctenoplectrina sp. JS-2010
polII	EU980075	Dactylurina staudingeri
polII	AY945112	Dasypoda argentata
polII	EF599280	Dasypoda braccata
polII	EF599283	Dasypoda frieseana
polII	AY945113	Dasypoda hirtipes
polII	EF599279	Dasypoda oraniensis
polII	EF599282	Dasypoda pyriformis
polII	EF599281	Dasypoda pyrotricha
polII	EF599284	Dasypoda spinigera
polII	AY945114	Dasypoda visnaga
polII	GU245440	Dianthidium subparvum
polII	AY945182	Dieunomia heteropoda
polII	AY945183	Dieunomia nevadensis
polII	GU245444	Dioxys pomonae
polII	AY945115	Diphaglossa gayi
polII	GU245481	Doeringiella sp. JS-2010
polII	AY945116	Dufourea mulleri
polII	GU245418	Epeoloides coecutiens
polII	GU245416	Epeoloides pilosula
polII	GU245479	Epeolus scutellaris
polII	GU245482	Epeolus sp. JS-2010
polII	GU245484	Epeolus variegatus
polII	GU245375	Epiclopus gayi
polII	GU936602	Eremaphanta iranica
polII	GU245376	Ericrocis lata
polII	GU245385	Eucera frater
polII	AY945100	Eucerceris tricolor
polII	AY945185	Euryglossa ephippiata
polII	AY945118	Euryglossina globuliceps
polII	GU245401	Exomalopsis sp. JS-2010
