Taxa,Tag,Region,Country,Locality,Location,Latitude,Longitude,Pres.time,Col.Date,Plant,Col.method,Superfamily,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,ITxBL
HOVERFLY,ALLO-AUS-87,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0412,0.038672,0.002528,3.207,13.723,44.009661
HOVERFLY,ALLO-AUS-88,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,23/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0432,0.038672,0.004528,3.003,15.278,45.879834
HOVERFLY,ALLO-AUS-92,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Episyrphus,NA,spisp1,Male,0.0734,0.067166,0.006234,3.947,15.597,61.561359
HOVERFLY,ALLO-AUS-93-1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,23/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0455,0.038672,0.006828,3.663,13.511,49.490793
HOVERFLY,ALLO-AUS-94,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,23/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.045,0.038672,0.006328,3.889,15.27,59.38503
HOVERFLY,ALLO-AUS-97,Australasia,Australia,COFFS,COFFSHardip,-30.01,153.11,0,23/5/17,Weed/Carrot,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0404,0.038672,0.001728,2.044,10.922,22.324568
HOVERFLY,ALLO-AUS-101,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,23/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Syrph,NA,chasp1,Male,0.0443,0.038672,0.005628,3.16,15.24,48.1584
HOVERFLY,ALLO-AUS-103,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0476,0.038672,0.008928,3.538,14.403,50.957814
HOVERFLY,ALLO-AUS-104,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,23/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.0404,0.038672,0.001728,2.217,10.097,22.385049
HOVERFLY,ALLO-AUS-105,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,23/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.043,0.038672,0.004328,2.931,12.353,36.206643
HOVERFLY,ALLO-AUS-109,Australasia,Australia,COFFS,COFFSHardip,-30.01,153.11,0,24/5/17,Passiflora,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0406,0.038672,0.001928,1.679,9.768,16.400472
HOVERFLY,ALLO-AUS-110,Australasia,Australia,COFFS,COFFSHardip,-30.01,153.11,0,24/5/17,Passiflora,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0413,0.038672,0.002628,3.419,13.74,46.97706
HOVERFLY,ALLO-AUS-111,Australasia,Australia,COFFS,COFFSHardip,-30.01,153.11,0,24/5/17,Passiflora,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0446,0.038672,0.005928,3.496,15.239,53.275544
HOVERFLY,ALLO-AUS-113,Australasia,Australia,COFFS,COFFSSherwood,-30.04,153.15,0,30/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0421,0.038672,0.003428,3.952,15.463,61.109776
HOVERFLY,ALLO-AUS-114,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,25/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0448,0.038672,0.006128,4.307,15.493,66.728351
HOVERFLY,ALLO-AUS-116,Australasia,Australia,COFFS,COFFSKangaroo,-30.03,153.18,0,30/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0439,0.038672,0.005228,3.747,15.114,56.632158
HOVERFLY,ALLO-AUS-117,Australasia,Australia,COFFS,COFFSParminder,-30.09,153.16,0,25/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0441,0.038672,0.005428,4.185,15.791,66.085335
HOVERFLY,ALLO-AUS-119,Australasia,Australia,COFFS,COFFSSherwood,-30.04,153.15,0,31/5/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0431,0.038672,0.004428,3.273,13.725,44.921925
HOVERFLY,ALLO-AUS-123,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/5/17,Yellow inflorescene,Hand,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Syrph,NA,chasp1,Female,0.0471,0.038672,0.008428,3.528,15.44,54.47232
HOVERFLY,ALLO-AUS-134,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/5/17,Westringia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0454,0.038672,0.006728,3.874,14.207,55.037918
HOVERFLY,ALLO-AUS-135,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,26/5/17,Westringia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0436,0.038672,0.004928,3.982,15.463,61.573666
HOVERFLY,ALLO-AUS-136,Australasia,Australia,COFFS,COFFSKelly Potts,-30.14,153.19,0,25/5/17,Westringia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0394,0.038672,0.000728,1.942,9.618,18.678156
HOVERFLY,ALLO-AUS-137,Australasia,Australia,COFFS,COFFSSherwood,-30.04,153.15,0,26/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0427,0.038672,0.004028,3.826,14.883,56.942358
HOVERFLY,ALLO-AUS-138,Australasia,Australia,COFFS,COFFSSherwood,-30.04,153.15,0,26/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.0401,0.038672,0.001428,1.981,10.305,20.414205
HOVERFLY,ALLO-AUS-155,Australasia,Australia,COFFS,COFFSroadside weeds,-30,153.15,0,5/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0687,0.067166,0.001534,1.71,9.809,16.77339
HOVERFLY,ALLO-AUS-156,Australasia,Australia,COFFS,COFFSroadside weeds,-30,153.15,0,8/5/17,Bidens pilosa,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0691,0.067166,0.001934,2.138,10.506,22.461828
HOVERFLY,ALLO-AUS-160,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,8/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.073,0.067166,0.005834,3.357,14.012,47.038284
HOVERFLY,ALLO-AUS-163,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,9/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0688,0.067166,0.001634,1.695,9.503,16.107585
HOVERFLY,ALLO-AUS-166,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,9/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Female,0.0689,0.067166,0.001734,2.256,10.235,23.09016
HOVERFLY,ALLO-AUS-178,Australasia,Australia,COFFS,COFFSCamellia,-30,153.15,0,9/5/17,Camellia,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphini,NA,syrsp4,Male,0.069,0.067166,0.001834,1.624,10.373,16.845752
HOVERFLY,ALLO-AUS-94.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0748,0.067166,0.007634,4.027,14.341,57.751207
HOVERFLY,ALLO-AUS-95.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0736,0.067166,0.006434,4.162,15.541,64.681642
HOVERFLY,ALLO-AUS-97.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0727,0.067166,0.005534,3.984,14.766,58.827744
HOVERFLY,ALLO-AUS-99.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0444,0.038672,0.005728,3.339,14.132,47.186748
HOVERFLY,ALLO-AUS-100.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0463,0.038672,0.007628,3.704,13.827,51.215208
HOVERFLY,ALLO-AUS-101.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.042,0.038672,0.003328,2.505,12.088,30.28044
HOVERFLY,ALLO-AUS-102.1,Australasia,Australia,COFFS,COFFSCOMPOUND-YELLOW,-29.99,153.14,0,20/5/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0452,0.038672,0.006528,3.509,13.069,45.859121
HOVERFLY,ALLO-AUS-187,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,8/4/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0704,0.067166,0.003234,3.683,13.2079,48.6446957
HOVERFLY,ALLO-AUS-197,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,8/4/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0709,0.067166,0.003734,3.242,12.906,41.841252
HOVERFLY,ALLO-AUS-198,Australasia,Australia,COFFS,COFFSGrays Road,-29.94,153.13,0,8/4/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Eristalinae,Cerioidini,Ceriana,Ceriana,cersp2,Female,0.0725,0.067166,0.005334,2.707,15.727,42.572989
HOVERFLY,ALLO-AUS-199,Australasia,Australia,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/4/17,Bottlebrush,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0758,0.067166,0.008634,4.03,15.336,61.80408
HOVERFLY,ALLO-AUS-200,Australasia,Australia,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/4/17,Bottlebrush,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0754,0.067166,0.008234,4.306,15.257,65.696642
HOVERFLY,ALLO-AUS-201,Australasia,Australia,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/4/17,Bottlebrush,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0764,0.067166,0.009234,3.901,14.174,55.292774
HOVERFLY,ALLO-AUS-202,Australasia,Australia,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/4/17,Bottlebrush,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0774,0.067166,0.010234,4.042,14.38,58.12396
HOVERFLY,ALLO-AUS-203,Australasia,Australia,ARMID,ARMIDALEUNE,-30.49,151.64,0,16/4/17,Bottlebrush,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0726,0.067166,0.005434,3.693,12.939,47.783727
HOVERFLY,ALLO-AUS-218,Australasia,Australia,BUNDA,Bundaberg,-24.84,152.46,0,19/2/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphin,NA,syrsp3,Female,0.0703,0.067166,0.003134,2.891,11.186,32.338726
HOVERFLY,ALLO-AUS-219,Australasia,Australia,COFFS,Woolgoolga,-30.11,153.2,0,3/3/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0466,0.038672,0.007928,3.75,15.163,56.86125
HOVERFLY,ALLO-AUS-220,Australasia,Australia,COFFS,Woolgoolga,-30.11,153.2,0,3/3/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0733,0.067166,0.006134,3.167,13.582,43.014194
HOVERFLY,ALLO-AUS-239,Australasia,Australia,BUNDA,Bundaberg,-24.84,152.46,0,19/2/17,NA,Vane,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Syrphi,NA,syrsp5,Female,0.041,0.038672,0.002328,2.754,11.316,31.164264
HOVERFLY,ALLO-AUS-240,Australasia,Australia,COFFS,J.LumbersNSWGibraltarRange,-29.51,152.31,93,15/1/17,NA,Vane,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,erisp2,Male,0.0872,0.067166,0.020034,6.095,16.838,102.62761
HOVERFLY,ALLO-AUS-265,Australasia,Australia,COFFS,COFFS_B910,-30.01,153.15,0,21/9/17,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Male,0.0456,0.038672,0.006928,4.184,16.059,67.190856
HOVERFLY,ALLO-AUS-271,Australasia,Australia,COFFS,COFFS_ B81,-29.99,153.14,0,14/9/18,Vaccinium,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Melangyna,Austrosyrphus,melsp1,Female,0.0427,0.038672,0.004028,3.522,14.333,50.480826
HOVERFLY,ALLO-AUS-279,Australasia,Australia,COFFS,COFFS_FST,-30,153.1,0,14/9/17,Pultanea,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Trichopsomyia,NA,trisp1,Male,0.0407,0.038672,0.002028,2.28,8.531,19.45068
HOVERFLY,ALLO-AUS-309,Australasia,Australia,KATHE,FoxaliciousREF149,-14.52,132.45,0,11/6/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Mesembrius,NA,messp1,Male,0.0549,0.038672,0.016228,5.182,20.756,107.557592
HOVERFLY,ALLO-AUS-310,Australasia,Australia,KATHE,Kings producersREF144,-14.52,132.45,0,9/6/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Ischiodon,NA,scutellaris,Female,0.0476,0.038672,0.008928,3.59,15.249,54.74391
HOVERFLY,ALLO-AUS-312,Australasia,Australia,MAREE,MoroREF006,-16.9,145.43,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Female,0.0433,0.038672,0.004628,3.021,12.805,38.683905
HOVERFLY,ALLO-AUS-313,Australasia,Australia,MAREE,MoroREF005,-16.9,145.43,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Female,0.0428,0.038672,0.004128,3.045,12.286,37.41087
HOVERFLY,ALLO-AUS-314,Australasia,Australia,MAREE,FeelyREF070,-16.99,145.37,0,17/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,erisp3,Female,0.0436,0.038672,0.004928,4.572,15.305,69.97446
HOVERFLY,ALLO-AUS-315,Australasia,Australia,MAREE,DinoREF061,-16.91,145.42,0,14/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Mesembrius,NA,messp1,Female,0.0521,0.038672,0.013428,4.668,16.332,76.237776
HOVERFLY,ALLO-AUS-316,Australasia,Australia,MAREE,CetinecREF013,-16.99,145.46,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Eristalini,Eristalinus,Lathyrophthalmus,punctulatus,Male,0.0587,0.038672,0.020028,5.775,17.44,100.716
HOVERFLY,ALLO-AUS-317,Australasia,Australia,MAREE,MarcelloREF046,-17.02,145.34,0,14/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Orthoprosopa,NA,ortsp1,Female,0.0441,0.038672,0.005428,2.756,11.668,32.157008
HOVERFLY,ALLO-AUS-318,Australasia,Australia,MAREE,FeelyREF066,-16.99,145.37,0,17/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Allobaccha,NA,allsp1,Female,0.0421,0.038672,0.003428,2.9,16.532,47.9428
HOVERFLY,ALLO-AUS-319,Australasia,Australia,MAREE,MoroREF31,-16.9,145.43,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Female,0.0432,0.038672,0.004528,2.847,11.562,32.917014
HOVERFLY,ALLO-AUS-320,Australasia,Australia,MAREE,CetinecREF017,-16.99,145.46,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Male,0.045,0.038672,0.006328,3.611,15.69,56.65659
HOVERFLY,ALLO-AUS-321,Australasia,Australia,MAREE,MarcelloREF058,-17.02,145.34,0,14/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Orthoprosopa,NA,ortsp1,Female,0.0441,0.038672,0.005428,2.761,11.853,32.726133
HOVERFLY,ALLO-AUS-322,Australasia,Australia,MAREE,CetinecREF021,-16.99,145.46,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Eristalinae,Milesiini,Orthoprosopa,NA,ortsp1,Male,0.0411,0.038672,0.002428,2.727,11.87,32.36949
HOVERFLY,ALLO-AUS-323,Australasia,Australia,MAREE,CetinecREF041,-16.99,145.46,0,14/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Male,0.0433,0.038672,0.004628,3.561,13.369,47.607009
HOVERFLY,ALLO-AUS-324,Australasia,Australia,MAREE,CetinecREF018,-16.99,145.46,0,9/8/17,Mango,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Simosyrphus,NA,simsp1,Male,0.0426,0.038672,0.003928,3.456,12.936,44.706816
HOVERFLY,ALLO-AUS-334,Australasia,Australia,KATHE,KatherineWM037_2017,-14.54,132.13,0,29/7/17,Watermelon,Hand,Syrphoidea,Syrphidae,Syrphinae,Paragini,Paragus,Paragus,parsp1,Male,0.0412,0.038672,0.002528,2.44,8.107,19.78108
HOVERFLY,ALLO-AUS-335,Australasia,Australia,KATHE,KatherineWM038_2017,-14.54,132.13,0,29/7/17,Watermelon,Hand,Syrphoidea,Syrphidae,Syrphinae,Paragini,Paragus,Paragus,parsp1,Male,0.0414,0.038672,0.002728,2.696,8.846,23.848816
HOVERFLY,ALLO-AUS-336,Australasia,Australia,KATHE,KatherineWM032_2017,-14.54,132.13,0,29/7/17,Watermelon,Hand,Syrphoidea,Syrphidae,Syrphinae,Syrphini,Ischiodon,NA,scutellaris,Male,0.046,0.038672,0.007328,3.126,15.21,47.54646
