Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,BL,Bl_cor
Apoidea,ALLO-CSI-121,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0613,0.038672,0.022628,3.1482162,19.249,11.82221254
Apoidea,ALLO-CSI-126,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0754,0.038672,0.036728,3.5827,20.171,12.38847987
Apoidea,ALLO-CSI-154,Australasia,Australia,LK,SA_NT,"Witjira NP, Creek",-26.37,135.79,201,22/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0706,0.038672,0.031928,3.243972,19.848,12.19010205
Apoidea,ALLO-CSI-158,Australasia,Australia,LK,SA_NT,"Witjira NP, Creek",-26.37,135.79,201,22/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0674,0.038672,0.028728,3.3045522,18.592,11.418701
Apoidea,ALLO-CSI-22,Australasia,Australia,LK,SA_NT,"Witjira NP, Pumi Bore",-26.28,136.1,201,22/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0557,0.038672,0.017028,2.6036458,21.079,12.94614879
Apoidea,ALLO-CSI-36,Australasia,Australia,LK,SA_NT,"Witjira NP, Mound spring",-26.42,135.51,201,22/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0566,0.038672,0.017928,2.8199106,19.386,11.90635421
Apoidea,ALLO-CSI-37,Australasia,Australia,LK,SA_NT,Dune W Binns Track,-25.75,135.26,201,21/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0724,0.038672,0.033728,2.8746282,19.139,11.75465353
Apoidea,ALLO-CSI-446,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.067,0.038672,0.028328,3.2674224,18.112,11.12389804
Apoidea,ALLO-CSI-450,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Male,0.0586,0.038672,0.019928,3.0902416,18.99,11.66314178
Apoidea,ALLO-CSI-451,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0697,0.038672,0.031028,3.5670664,19.534,11.99725179
Apoidea,ALLO-CSI-457,Australasia,Australia,LK,SA_NT,"Witjira NP, Binns Track",-26,135.33,201,17/3/17,NA,Malaise,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0682,0.038672,0.029528,3.1749236,18.385,11.29156722
Apoidea,ALLO-AUS-512,Australasia,Australia,LK,VICTORIA,b8p0b,-36.68,145.39,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0672,0.03536129,0.03183871,3.6797586,18.905,11.61093709
Apoidea,ALLO-AUS-513,Australasia,Australia,LK,VICTORIA,b8p0b,-36.68,145.39,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0653,0.03536129,0.02993871,3.4218042,19.824,12.1753619
Apoidea,ALLO-AUS-514,Australasia,Australia,LK,VICTORIA,B8R2B,-36.68,145.39,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0653,0.03536129,0.02993871,3.4126846,17.202,10.56500078
Apoidea,ALLO-AUS-515,Australasia,Australia,LK,VICTORIA,BST1B,-36.68,145.39,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0684,0.03536129,0.03303871,3.4498144,20.547,12.61940885
Apoidea,ALLO-AUS-516,Australasia,Australia,LK,VICTORIA,B8T1B,-36.68,145.39,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.069,0.03536129,0.03363871,3.7690004,18.08,11.10424451
Apoidea,ALLO-AUS-517,Australasia,Australia,LK,VICTORIA,A2P1B,-36.6,144.66,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0662,0.03536129,0.03083871,3.5162572,18.115,11.12574056
Apoidea,ALLO-AUS-518,Australasia,Australia,LK,VICTORIA,A7C3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0664,0.03536129,0.03103871,3.5130002,18.043,11.08152012
Apoidea,ALLO-AUS-519,Australasia,Australia,LK,VICTORIA,A7C3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0631,0.03536129,0.02773871,3.4674022,18.773,11.52986627
Apoidea,ALLO-AUS-520,Australasia,Australia,LK,VICTORIA,A7C3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0645,0.03536129,0.02913871,3.351453,19.905,12.2251099
Apoidea,ALLO-AUS-521,Australasia,Australia,LK,VICTORIA,A7C3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0667,0.03536129,0.03133871,3.4354836,17.243,10.59018187
Apoidea,ALLO-AUS-522,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0578,0.03536129,0.02243871,3.2817532,16.311,10.0177728
Apoidea,ALLO-AUS-523,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0651,0.03536129,0.02973871,3.6094074,18.257,11.2129531
Apoidea,ALLO-AUS-524,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0601,0.03536129,0.02473871,3.393794,17.132,10.52200868
Apoidea,ALLO-AUS-525,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0646,0.03536129,0.02923871,3.4205014,18.201,11.17855942
Apoidea,ALLO-AUS-526,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.069,0.03536129,0.03363871,3.6041962,19.354,11.88670068
Apoidea,ALLO-AUS-527,Australasia,Australia,LK,VICTORIA,A7C2B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.0652,0.03536129,0.02983871,3.7058146,17.647,10.83830768
Apoidea,ALLO-AUS-528,Australasia,Australia,LK,VICTORIA,A7R3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.066,0.03536129,0.03063871,3.6191784,18.761,11.5224962
Apoidea,ALLO-AUS-529,Australasia,Australia,LK,VICTORIA,A7P3B,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.07,0.03536129,0.03463871,3.7175398,18.655,11.45739388
Apoidea,ALLO-AUS-530,Australasia,Australia,LK,VICTORIA,A7P3b,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.064,0.03536129,0.02863871,3.608756,18.148,11.14600826
Apoidea,ALLO-AUS-531,Australasia,Australia,LK,VICTORIA,A7P3b,-36.75,145.35,60,22/12/15,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Notomegilla,Amegilla_chlorocyanea,Female,0.063,0.03536129,0.02763871,3.5344964,17.404,10.68906369
Apoidea,ALLO-AUS-44,Australasia,Australia,LK,COFFS,COFFSFeatherstones,-30,153.1,0,16/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.096,0.038672,0.057328,4.2126038,19.762,12.13728319
Apoidea,ALLO-AUS-46,Australasia,Australia,LK,COFFS,COFFSMelaleuca - Caravan Pak,-29.98,153.23,0,22/5/17,Melaleuca,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.156,0.096176,0.059824,4.2881662,21.7975,13.38743196
Apoidea,ALLO-AUS-127,Australasia,Australia,LK,COFFS,COFFSKangaroo,-30.03,153.18,0,30/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.161,0.096176,0.064824,4.2490822,20.469,12.57150337
Apoidea,ALLO-AUS-167,Australasia,Australia,LK,COFFS,COFFSPonds,-30.01,153.1,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1126,0.067166,0.045434,3.9005832,19.675,12.08385015
Apoidea,ALLO-AUS-169,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,4/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1323,0.067166,0.065134,4.0797182,22.45,13.78817972
Apoidea,ALLO-AUS-171,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Male,0.0913,0.067166,0.024134,3.1931628,14.479,8.892608203
Apoidea,ALLO-AUS-172,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,4/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1192,0.067166,0.052034,4.0432398,20.537,12.61326712
Apoidea,ALLO-AUS-175,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Male,0.096,0.067166,0.028834,3.4380892,16.006,9.830450093
Apoidea,ALLO-AUS-176,Australasia,Australia,LK,COFFS,COFFSGrays Road,-29.94,153.13,0,8/5/17,NA,Vane,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Female,0.1046,0.067166,0.037434,3.7931022,20.39,12.52298372
Apoidea,ALLO-AUS-236,Australasia,Australia,LK,COFFS,Woolgoolga,-30.11,153.2,0,3/3/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_cingulata,Male,0.1264,0.096176,0.030224,4.263413,17.468,10.72837075
Apoidea,ALLO-AUS-11,Australasia,Australia,LK,COFFS,COFFSRoadside weeds,-30,153.15,0,15/5/17,Bidens pilosa,Hand,Apidae,Apinae,Anthophorini,Amegilla,Zonamegilla,Amegilla_pulchra,Female,0.1088,0.067166,0.041634,3.654354,19.909,12.22756659
Apoidea,SpainBF621,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Amegilla,Amegilla_quadrifasciata,Female,NA,NA,0.0647,4.11,13.82,13.82
Apoidea,SpainBF624,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,Amegilla,Amegilla_quadrifasciata,Female,NA,NA,0.0242,3.18,12.65,12.65
Apoidea,Cane_1987_12,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,12/1/87,NA,Museum,Andrenidae,Andreninae,Andrenini,Andrena,Callandrena,Andrena_accepta,Female,NA,NA,0.026202,2.8021,NA,NA
Apoidea,ALLO-SWI-369,Europe,Switzerland,LC,Zurich,MZ B2,47.3769,8.5417,NA,14/4/15,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Micrandrena,Andrena_alfkenella,Male,0.02376,0.021706,0.002054,1.332,NA,NA
Apoidea,ALLO-GER-559,Europe,Germany,LK,Wurzberg,Prosselsheim4,49.850392,10.113375,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0476,0.036904,0.010696,2.0922968,14.986,9.203993821
Apoidea,ALLO-GER-603,Europe,Germany,LK,Wurzberg,Bergtheim1,49.900486,10.053631,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0493,0.036904,0.012396,1.9555028,14.498,8.904277486
Apoidea,ALLO-GER-648,Europe,Germany,LK,Wurzberg,Bergtheim3,49.902308,10.057294,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0506,0.036904,0.013696,2.0512586,14.762,9.06641911
Apoidea,ALLO-SWI-596,Europe,Switzerland,LC,Zurich,,47.3769,8.5417,NA,14/4/14,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0483,0.047707,0.000593,1.758,NA,NA
Apoidea,IRE20170181,Europe,Ireland,LR,DUBLIN,South DublinUCD 4,53.31,-6.23,0,3/8/17,Hypochaeris radicata,Hand,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0607,0.046966667,0.013733333,2.4,10.5,10.5
Apoidea,IRE20170269,Europe,Ireland,LR,DUBLIN,South DublinUCD 4,53.31,-6.23,0,25/7/17,Hypochaeris radicata,Hand,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0487,0.037233333,0.011466667,2.1,8.7,8.7
Apoidea,IRE20170282,Europe,Ireland,LR,DUBLIN,South DublinUCD 1,53.31,-6.23,0,25/7/17,Hypochaeris radicata,Hand,Andrenidae,Andreninae,Andrenini,Andrena,Euandrena,Andrena_bicolor,Female,0.0461,0.037233333,0.008866667,2.2,9,9
Apoidea,ALLO-SWI-555,Europe,Switzerland,LC,Zurich,Schlatt,47.3769,8.5417,NA,24/4/17,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_bucephala,Female,0.0447,0.031179,0.013521,2.308,NA,NA
Apoidea,ALLO-SWI-548,Europe,Switzerland,LC,Zurich,Endingen,47.3769,8.5417,NA,13/4/17,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.072,0.031179,0.040821,3.089,NA,NA
Apoidea,ALLO-SWI-602,Europe,Switzerland,LC,Zurich,Thomas Schwarz,47.3769,8.5417,NA,20/4/17,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.0634,0.031179,0.032221,2.956,NA,NA
Apoidea,ALLO-SWI-605,Europe,Switzerland,LC,Zurich,Schlatt,47.3769,8.5417,NA,20/4/17,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.055,0.031179,0.023821,2.583,NA,NA
Apoidea,ALLO-SWI-690,Europe,Switzerland,LC,Zurich,,47.3769,8.5417,NA,14/4/15,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.0695,0.047707,0.021793,2.911,NA,NA
Apoidea,ALLO-SWI-644,Europe,Switzerland,LC,Zurich,,47.3769,8.5417,NA,14/4/15,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.0691,0.047707,0.021393,3.073,NA,NA
Apoidea,ALLO-SWI-692,Europe,Switzerland,LC,Zurich,,47.3769,8.5417,NA,14/4/15,NA,NA,Andrenidae,Andreninae,Andrenini,Andrena,Hoplandrena,Andrena_scotia,Female,0.0645,0.047243,0.017257,3.018,NA,NA
Apoidea,ALLO-GER-590,Europe,Germany,LK,Wurzberg,Rieden3,49.941994,10.050008,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Notandrena,Andrena_chrysosceles,Female,0.0499,0.036904,0.012996,1.9861186,15.509,9.525206203
Apoidea,ALLO-GER-444,Europe,Germany,LK,Wurzberg,Bergtheim2,49.896189,10.045694,14,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0809,0.036904,0.043996,3.0166334,20.583,12.64151907
Apoidea,ALLO-GER-452,Europe,Germany,LK,Wurzberg,Hausen1,49.938633,10.022767,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0693,0.036904,0.032396,2.8635544,20.963,12.87490474
Apoidea,ALLO-GER-460,Europe,Germany,LK,Wurzberg,Prosselsheim4,49.850392,10.113375,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0673,0.036904,0.030396,2.726109,21.837,13.41169178
Apoidea,ALLO-GER-471,Europe,Germany,LK,Wurzberg,Hausen1,49.938633,10.022767,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0777,0.036904,0.040796,2.9039412,20.355,12.50148767
Apoidea,ALLO-GER-477,Europe,Germany,LK,Wurzberg,Opferbaum4,49.909314,10.086428,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0775,0.036904,0.040596,2.8772338,22.536,13.84099858
Apoidea,ALLO-GER-481,Europe,Germany,LK,Wurzberg,Prosselsheim4,49.850392,10.113375,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0793,0.036904,0.042396,2.820562,21.242,13.04625896
Apoidea,ALLO-GER-502,Europe,Germany,LK,Wurzberg,Opferbaum4,49.909314,10.086428,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0712,0.036904,0.034296,2.8479208,20.728,12.73057413
Apoidea,ALLO-GER-507,Europe,Germany,LK,Wurzberg,Hausen2,49.935697,10.017931,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0771,0.036904,0.040196,3.077865,21.861,13.42643193
Apoidea,ALLO-GER-511,Europe,Germany,LK,Wurzberg,Opferbaum5,49.925831,10.094319,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0711,0.036904,0.034196,2.980155,21.433,13.16356597
Apoidea,ALLO-GER-533,Europe,Germany,LK,Wurzberg,Opferbaum4,49.909314,10.086428,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.074,0.036904,0.037096,3.1377938,22.723,13.9558489
Apoidea,ALLO-GER-547,Europe,Germany,LK,Wurzberg,Opferbaum5,49.925831,10.094319,14,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0831,0.036904,0.046196,2.96387,19.716,12.10903124
Apoidea,ALLO-GER-553,Europe,Germany,LK,Wurzberg,Opferbaum5,49.925831,10.094319,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0774,0.036904,0.040496,2.9755952,21.788,13.38159732
Apoidea,ALLO-GER-558,Europe,Germany,LK,Wurzberg,Dipbach,49.906236,10.124092,14,2/6/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0827,0.036904,0.045796,3.0472492,22.206,13.63832155
Apoidea,ALLO-GER-575,Europe,Germany,LK,Wurzberg,Prosselsheim4,49.850392,10.113375,14,17/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0784,0.036904,0.041496,2.6362158,20.564,12.62984979
Apoidea,ALLO-GER-645,Europe,Germany,LK,Wurzberg,Hausen1,49.938633,10.022767,14,1/5/17,NA,Pan_trap,Andrenidae,Andreninae,Andrenini,Andrena,Melandrena,Andrena_cineraria,Female,0.0789,0.036904,0.041996,3.0296614,22.426,13.77343957
