Superfamily,Tag,Region,Country,Measurement,Locality,Location,Latitude,Longitude,Pres.time,Col.date,Plant,Col.method,Family,Subfamily,Tribe,Genus,Subgenus,Species,Sex,Weight,Pin.wgt,Spec.wgt,IT,IT_cor_65,IT_cor,BL,Bl_cor
Apoidea,SpainBF193,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_valga,Female,NA,NA,0.1948,8.02,8.02,8.02,21,21
Apoidea,SpainBF195,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_cantabrita,Male,NA,NA,0.0956,5.91,5.91,5.91,16.05,16.05
Apoidea,SpainBF197,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_cantabrita,Female,NA,NA,0.1002,5.71,5.71,5.71,17.03,17.03
Apoidea,SpainBF2,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_dispar,Male,NA,NA,0.0503,3.76,3.76,3.76,13.04,13.04
Apoidea,SpainBF201,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Bombini,Bombus,NA,Bombus_terrestris,Female,NA,NA,0.0646,5.04,5.04,5.04,17.26,17.26
Apoidea,SpainBF216,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Bombini,Bombus,NA,Bombus_terrestris,Female,NA,NA,0.0646,5.25,5.25,5.25,16.7,16.7
Apoidea,SpainBF223,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Apini,Apis,NA,Apis_mellifera,Female,NA,NA,0.0263,3.08,3.08,3.08,11.17,11.17
Apoidea,SpainBF224,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Apini,Apis,NA,Apis_mellifera,Female,NA,NA,0.0252,3.15,3.15,3.15,11.98,11.98
Apoidea,SpainBF228,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_banksianus,Male,NA,NA,0.0149,2.16,2.16,2.16,13.01,13.01
Apoidea,SpainBF23,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_ovatula,Female,NA,NA,0.0078,1.51,1.51,1.51,7.28,7.28
Apoidea,SpainBF241,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Flavipanurgus,NA,Flavipanurgus_venustus,Male,NA,NA,0.0096,1.85,1.85,1.85,9.66,9.66
Apoidea,SpainBF242,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Flavipanurgus,NA,Flavipanurgus_venustus,Female,NA,NA,0.0093,1.81,1.81,1.81,7.37,7.37
Apoidea,SpainBF258,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Male,NA,NA,0.0092,1.98,1.98,1.98,9.27,9.27
Apoidea,SpainBF261,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_cephalotes,Male,NA,NA,0.0097,1.81,1.81,1.81,8.82,8.82
Apoidea,SpainBF266,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Male,NA,NA,0.0062,1.51,1.51,1.51,7.54,7.54
Apoidea,SpainBF273,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_rhyssonota,Female,NA,NA,0.0111,1.93,1.93,1.93,9.28,9.28
Apoidea,SpainBF275,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_nigroaenaea,Female,NA,NA,0.0172,2.56,2.56,2.56,12.66,12.66
Apoidea,SpainBF278,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_flavipes,Male,NA,NA,0.0108,1.94,1.94,1.94,9.71,9.71
Apoidea,SpainBF279,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_thoracica,Female,NA,NA,0.0436,3.21,3.21,3.21,15.8,15.8
Apoidea,SpainBF28,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_ferrugineicrus,Female,NA,NA,0.0071,1.52,1.52,1.52,8.35,8.35
Apoidea,SpainBF282,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_florea,Female,NA,NA,0.0085,2.75,2.75,2.75,13.43,13.43
Apoidea,SpainBF293,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_hispania,Male,NA,NA,0.0099,2.33,2.33,2.33,12.98,12.98
Apoidea,SpainBF317,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Andreninae,Andrenini,Andrena,NA,Andrena_hispania,Female,NA,NA,0.0457,2.95,2.95,2.95,15.73,15.73
Apoidea,SpainBF32,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_leucozonium,Male,NA,NA,0.0059,1.36,1.36,1.36,6.82,6.82
Apoidea,SpainBF320,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_dargius,Female,NA,NA,0.0095,2.06,2.06,2.06,9.98,9.98
Apoidea,SpainBF334,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_merceti,Male,NA,NA,0.0086,0.94,0.94,0.94,4.68,4.68
Apoidea,SpainBF338,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_merceti,Female,NA,NA,0.0069,0.91,0.91,0.91,4.81,4.81
Apoidea,SpainBF34,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_leucozonium,Male,NA,NA,0.0055,1.27,1.27,1.27,6.91,6.91
Apoidea,SpainBF346,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_melathoracica,Female,NA,NA,0.0273,2.76,2.76,2.76,12.61,12.61
Apoidea,SpainBF352,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_agrestis,Female,NA,NA,0.0255,2.68,2.68,2.68,11.57,11.57
Apoidea,SpainBF353,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_agrestis,Male,NA,NA,0.0146,2.76,2.76,2.76,12.26,12.26
Apoidea,SpainBF354,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Nomadinae,Nomadini,Nomada,NA,Nomada_fucata,Female,NA,NA,0.013,2.08,2.08,2.08,9.71,9.71
Apoidea,SpainBF46,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_albocinctum,Female,NA,NA,0.0178,2.28,2.28,2.28,9.97,9.97
Apoidea,SpainBF548,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_elongatula,Male,NA,NA,0.021,2.9,2.9,2.9,11.11,11.11
Apoidea,SpainBF555,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_rufa,Male,NA,NA,0.032,3.46,3.46,3.46,14.66,14.66
Apoidea,SpainBF559,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_elongatula,NA,NA,NA,0.0353,2.86,2.86,2.86,10.87,10.87
Apoidea,SpainBF572,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_chrysopyga,Female,NA,NA,0.0275,3.38,3.38,3.38,12.22,12.22
Apoidea,SpainBF585,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Eucerini,Eucera,NA,Eucera_chrysopyga,Female,NA,NA,0.0301,3.71,3.71,3.71,12.03,12.03
Apoidea,SpainBF586,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Male,NA,NA,0.0267,3.88,3.88,3.88,13.03,13.03
Apoidea,SpainBF593,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_aestivalis,Male,NA,NA,0.0555,4.59,4.59,4.59,16.37,16.37
Apoidea,SpainBF601,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Female,NA,NA,0.1123,6.54,6.54,6.54,21,21
Apoidea,SpainBF602,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_hispanica,Male,NA,NA,0.1133,6.53,6.53,6.53,22,22
Apoidea,SpainBF606,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Anthophora,NA,Anthophora_atroalba,Female,NA,NA,0.0421,3.67,3.67,3.67,13.54,13.54
Apoidea,SpainBF614,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Xylocopinae,Xylocopini,Xylocopa,NA,Xylocopa_cantabrita,NA,NA,NA,0.0118,2.39,2.39,2.39,8.65,8.65
Apoidea,SpainBF621,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,NA,Amegilla_quadrifasciata,Female,NA,NA,0.0647,4.11,4.11,4.11,13.82,13.82
Apoidea,SpainBF624,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Apidae,Apinae,Anthophorini,Amegilla,NA,Amegilla_quadrifasciata,Female,NA,NA,0.0242,3.18,3.18,3.18,12.65,12.65
Apoidea,SpainBF625,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Anthidini,Xylocopa,NA,Xylocopa_sticticum,Male,NA,NA,0.0438,3.66,3.66,3.66,14.26,14.26
Apoidea,SpainBF626,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Anthidini,Pseudoanthidium,NA,Pseudoanthidium_melanorum,Female,NA,NA,0.0289,3.45,3.45,3.45,12.18,12.18
Apoidea,SpainBF63,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Andrenidae,Panurginae,Panurgini,Panurgus,NA,Panurgus_calcaratus,Female,NA,NA,0.0125,1.26,1.26,1.26,5.33,5.33
Apoidea,SpainBF634,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Osmia,NA,Osmia_bicornis,Male,NA,NA,0.0063,2.94,2.94,2.94,10.28,10.28
Apoidea,SpainBF638,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Osmia,NA,Osmia_submicans,Male,NA,NA,0.0306,3.33,3.33,3.33,11.55,11.55
Apoidea,SpainBF643,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Hoplitis,NA,Hoplitis_adunca,Male,NA,NA,0.0166,3.1,3.1,3.1,9.26,9.26
Apoidea,SpainBF66,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Halictinae,Halictini,Lasioglossum,NA,Lasioglossum_imminutus,Female,NA,NA,0.0151,1.43,1.43,1.43,8.82,8.82
Apoidea,SpainBF690,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Megachilidae,Megachilinae,Osmiini,Heriades,NA,Heriades_crenulatus,Female,NA,NA,0.0063,1.76,1.76,1.76,6.93,6.93
Apoidea,SpainBF91,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,0.0195,2.37,2.37,2.37,11.23,11.23
Apoidea,SpainBF98,Europe,Spain,IB,SPAIN,NA,37.396355,-5.9732,0,1/1/17,NA,Hand,Halictidae,Rophitinae,Rophitini,Systropha,NA,Systropha_planidens,Male,NA,NA,0.0083,2.44,2.44,2.44,9.8,9.8
Apoidea,Cane_1987_1,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,1/1/87,NA,Museum,Halictidae,Halictinae,Halictini,Lasioglossum,Dialictus,Lasioglossum_versatus,Female,NA,NA,0.002727,1.3232,1.3232,1.3232,NA,NA
Apoidea,Cane_1987_2,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,2/1/87,NA,Museum,Andrenidae,Panurginae,Perditini,Perdita,,Perdita_coreopsidis,Female,NA,NA,0.004548,1.4785,1.4785,1.4785,NA,NA
Apoidea,Cane_1987_3,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,3/1/87,NA,Museum,Colletidae,Colletinae,Halictina,Hylaeus,,Hylaeus_rugulosus,Female,NA,NA,0.005284,1.6889,1.6889,1.6889,NA,NA
Apoidea,Cane_1987_4,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,4/1/87,NA,Museum,Andrenidae,Panurginae,Calliopsini,Calliopsis,,Calliopsis_andreniformis,Female,NA,NA,0.005821,1.5332,1.5332,1.5332,NA,NA
Apoidea,Cane_1987_5,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,5/1/87,NA,Museum,Halictidae,Rophitinae,Rophitini,Dufourea,,Dufourea_marginata,Female,NA,NA,0.005821,1.5332,1.5332,1.5332,NA,NA
Apoidea,Cane_1987_6,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,6/1/87,NA,Museum,Apidae,Apinae,Exomalopsini,Exomalopsis,,Exomalopsis_solani,Female,NA,NA,0.008554,1.7707,1.7707,1.7707,NA,NA
Apoidea,Cane_1987_7,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,7/1/87,NA,Museum,Halictidae,Halictinae,Augochlorini,Augochlora,,Augochlora_pura,Female,NA,NA,0.011462,1.8709,1.8709,1.8709,NA,NA
Apoidea,Cane_1987_8,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,8/1/87,NA,Museum,Melittidae,Dasypodainae,Hesperapini,Hesperapis,,Hesperapis_carinata,Female,NA,NA,0.014588,2.7399,2.7399,2.7399,NA,NA
Apoidea,Cane_1987_9,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,9/1/87,NA,Museum,Apidae,Nomadinae,Epeolini,Triepeolus,,Triepeolus_verbesinae,Female,NA,NA,0.016566,2.3826,2.3826,2.3826,NA,NA
Apoidea,Cane_1987_10,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,10/1/87,NA,Museum,Megachilidae,Megachilinae,Anthidiini,Anthidiellum,,Anthidiellum_notatum,Female,NA,NA,0.017091,2.116,2.116,2.116,NA,NA
Apoidea,Cane_1987_11,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,11/1/87,NA,Museum,Apidae,Apinae,Emphorini,Diadasia,,Diadasia_olivaceae,Female,NA,NA,0.018564,2.4189,2.4189,2.4189,NA,NA
Apoidea,Cane_1987_12,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,12/1/87,NA,Museum,Andrenidae,Andreninae,Andrenini,Andrena,,Andrena_accepta,Female,NA,NA,0.026202,2.8021,2.8021,2.8021,NA,NA
Apoidea,Cane_1987_13,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,13/1/87,NA,Museum,Apidae,Apinae,Emphorini,Diadasia,,Diadasia_rinconis,Female,NA,NA,0.028385,2.9207,2.9207,2.9207,NA,NA
Apoidea,Cane_1987_14,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,14/1/87,NA,Museum,Halictidae,Nomiinae,Nomiini,Nomia,,Nomia_melanderi,Female,NA,NA,0.035861,2.497,2.497,2.497,NA,NA
Apoidea,Cane_1987_15,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,15/1/87,NA,Museum,Apidae,Apinae,Eucerini,Melissodea,,Melissodea_agilis,Female,NA,NA,0.031122,3.2497,3.2497,3.2497,NA,NA
Apoidea,Cane_1987_16,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,16/1/87,NA,Museum,Apidae,Apinae,Anthophorini,Anthophora,,Anthophora_urbana,Female,NA,NA,0.039834,3.3124,3.3124,3.3124,NA,NA
Apoidea,Cane_1987_17,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,17/1/87,NA,Museum,Colletidae,Colletinae,Colletini,Colletes,,Colletes_inaequalis,Female,NA,NA,0.040561,3.307,3.307,3.307,NA,NA
Apoidea,Cane_1987_18,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,18/1/87,NA,Museum,Megachilidae,Megachilinae,Megachilini,Megachile,,Megachile_texana,Female,NA,NA,0.041847,3.6873,3.6873,3.6873,NA,NA
Apoidea,Cane_1987_19,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,19/1/87,NA,Museum,Apidae,Apinae,Centridini,Centris,,Centris_atripes,Female,NA,NA,0.052207,4.0608,4.0608,4.0608,NA,NA
Apoidea,Cane_1987_20,NorthAmerica,USA,JC,NA,NA,32.531318,-85.529473,NA,20/1/87,NA,Museum,Andrenidae,Oxaeinae,NA,Protoxaea,,Protoxaea_gloriosa,Female,NA,NA,0.097606,4.9412,4.9412,4.9412,NA,NA
